"Date","Month","Year","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-05-18,5,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-19,5,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-20,5,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-21,5,2017,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-22,5,2017,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-23,5,2017,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-24,5,2017,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-25,5,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-26,5,2017,61,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-27,5,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-28,5,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-29,5,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-30,5,2017,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-31,5,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-01,6,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-02,6,2017,61,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-03,6,2017,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-04,6,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-05,6,2017,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-06,6,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-07,6,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-08,6,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-09,6,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-10,6,2017,61,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-11,6,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-12,6,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-13,6,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-14,6,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-15,6,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-16,6,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-17,6,2017,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-18,6,2017,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-19,6,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-20,6,2017,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-21,6,2017,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-22,6,2017,16,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-23,6,2017,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-24,6,2017,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-25,6,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-26,6,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-27,6,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-28,6,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-29,6,2017,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-30,6,2017,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-01,7,2017,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-02,7,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-03,7,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-04,7,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-05,7,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-06,7,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-07,7,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-08,7,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-09,7,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-10,7,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-11,7,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-12,7,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-13,7,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-14,7,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-15,7,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-16,7,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-17,7,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-18,7,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-19,7,2017,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-20,7,2017,71,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-21,7,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-22,7,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-23,7,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-24,7,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-25,7,2017,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-26,7,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-27,7,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-28,7,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-29,7,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-30,7,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-31,7,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-01,8,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-02,8,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-03,8,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-04,8,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-05,8,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-06,8,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-07,8,2017,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-08,8,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-09,8,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-10,8,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-11,8,2017,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-12,8,2017,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-13,8,2017,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-14,8,2017,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-15,8,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-16,8,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-17,8,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-18,8,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-19,8,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-20,8,2017,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-21,8,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-22,8,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-23,8,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-24,8,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-25,8,2017,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-26,8,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-27,8,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-28,8,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-29,8,2017,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-30,8,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-31,8,2017,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-01,9,2017,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-02,9,2017,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-03,9,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-04,9,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-05,9,2017,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-06,9,2017,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-08,9,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-09,9,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-10,9,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
